Advertiser,Region,Sub Region,IO Number,Invoice No,Gross Amount,Sales,开票sales,Net Invoice Amount, Invoice Currency , FX Rate ,Amount (USD),Invoice Date,Amount received,Balance,Remark,Receipt Date,Bank source,Credit Period,Due Date,Days Past Due,Ageing (Past Due),COMMENTS
UNILEAD PTE.LTD,UK,UK,,UK_16_07_18,,UK,,2771.35 ,USD,,2771.35 ,2018/7/19,2746.35 ,25.00 ,,2018/8/2,, 30 ,2018/8/18, reveived ,received,June
UNILEAD PTE.LTD,UK,UK,,UK_64_07_18,,UK,,3442.03 ,USD,,3442.03 ,2018/7/19,,3442.03 ,,2018/7/19,, 30 ,2018/8/18, reveived ,received,June
Newborn Town International Enterprise Limited（Solo API）,AFF,AFF,,CHN_50_07_18,,AFF,,11763.98 ,USD,,11763.98 ,2018/7/18,11763.98 ,0.00 ,,2018/8/24,, 30 ,2018/8/17, reveived ,received,May
"HYLINK (HK) DIGITAL SOLUTION CO., LIMITED",China Sales,China Sales East,,CHN_51_07_18,,Ander,,33295.77 ,USD,,33295.77 ,2018/7/18,33293.86 ,1.91 ,,2018/8/24,, 30 ,2018/8/17, reveived ,received,June
TOTALMOBRAND S.A.（Mobrand_Ultron）,AFF,AFF,,CHN_53_06_18,,AFF,,1487.52 ,USD,,1487.52 ,2018/7/18,1449.22 ,38.30 ,,2018/9/6,, 30 ,2018/8/17, reveived ,received,May
Dofun Technology Limited,AFF,AFF,,CHN_56_07_18,,AFF,,3656.94 ,USD,,3656.94 ,2018/7/18,3655.02 ,1.92 ,,2018/9/21,, 30 ,2018/8/17, reveived ,received,May
PT Ecart Webportal Indonesia (Lazada ID),APAC,SGP,,SGP_57_07_18,,Amanda,,4144.80 ,USD,,4144.80 ,2018/7/18,4144.80 ,0.00 ,,2018/9/5,, 30 ,2018/8/17, reveived ,received,June
Alibaba.com Hong Kong Limited,China Sales,China Sales East,,CHN_59_07_18,,Ander,,620.54 ,USD,,620.54 ,2018/7/18,620.54 ,0.00 ,,2018/9/11,, 30 ,2018/8/17, reveived ,received,May阿里巴巴（淘宝lite）
MOBGEEK MARKETING PLANNING(HK) LIMITED (Mobgeek),AFF,AFF,,CHN_61_07_18,,AFF,,4199.37 ,USD,,4199.37 ,2018/7/25,4178.41 ,20.96 ,,2018/9/10,, 30 ,2018/8/24, reveived ,received,May
Bytedance Inc.今日头条,China Sales,China Sales North,,CHN_65_07_18,,Bonnie,,2707711.76 ,USD,,2707711.76 ,2018/7/19,2707693.46 ,18.30 ,,2018/8/2,, 30 ,2018/8/18, reveived ,received,June
"Motive Interactive, Inc",AFF,AFF,,CHN_31_07_18,,AFF,,2594.74 ,USD,,2594.74 ,2018/7/21,2557.31 ,37.43 ,,2018/7/7,, 30 ,2018/8/20, reveived ,received,May
OP Vision LTD(Persona.ly),AFF,AFF,,CHN_32_07_18,,AFF,,15117.25 ,USD,,15117.25 ,2018/7/21,15114.80 ,2.45 ,,2018/7/11,, 30 ,2018/8/20, reveived ,received,May
"Recess Company, Ltd.(Lazada VN)",APAC,SGP,,SGP_63_07_18,,Amanda,,13504.16 ,USD,,13504.16 ,2018/7/23,12162.50 ,1341.66 ,,2018/9/19,, 30 ,2018/8/22, reveived ,received,June
"Lazada E-Services Philippines, Inc (Lazada PH)",APAC,SGP,,SGP_65_07_18,,Amanda,,6845.52 ,USD,,6845.52 ,2018/7/23,6845.52 ,0.00 ,,2018/9/21,, 30 ,2018/8/22, reveived ,received,June
Lazada Limited (Lazada TH),APAC,SGP,,SGP_66_07_18,,Amanda,,4994.76 ,USD,,4994.76 ,2018/7/23,4974.76 ,20.00 ,,2018/8/27,, 30 ,2018/8/22, reveived ,received,June
Lazada Singapore Pte. Ltd(Lazada SG),APAC,SGP,,SGP_67_07_18,,Amanda,,2857.80 ,USD,,2857.80 ,2018/7/23,2857.80 ,0.00 ,,2018/8/23,, 30 ,2018/8/22, reveived ,received,June
Badoo Trading Ltd,UK,UK,,UK_17_07_18,,UK,,7033.55 ,USD,,7033.55 ,2018/7/23,7033.55 ,0.00 ,,2018/9/14,, 30 ,2018/8/22, reveived ,received,June
NovelPlus Sdn Bhd,APAC,SGP,,SGP_68_07_18,,Amanda,,45.60 ,USD,,45.60 ,2018/7/23,45.60 ,0.00 ,,2018/8/15,, 30 ,2018/8/22, reveived ,received,June
Skyworker Digital Limited（Skyworker_Ultron）,AFF,AFF,,CHN_35_07_18,,AFF,,7125.34 ,USD,,7125.34 ,2018/7/23,7125.34 ,0.00 ,,2018/9/17,, 30 ,2018/8/22, reveived ,received,May
Smarter Wireless Communications Technology (HK) limited,AFF,AFF,,CHN_36_07_18,,AFF,,20564.35 ,USD,,20564.35 ,2018/7/23,20564.35 ,0.00 ,,2018/8/2,, 30 ,2018/8/22, reveived ,received,May
"Hongkong Lehui Network Technology Co., Limited(Clinkad）",AFF,AFF,,CHN_33_05_18 CM,,AFF,,(7926.29),USD,,(7926.29),2018/7/24,,(7926.29),,2018/7/24,, 30 ,2018/8/23, reveived ,received,Cancelled invoice of Mar.18
TIDEBUY INTERNATIONAL LIMITED(踏浪者国际),China Sales,China Sales EC,,CHN_37_07_18,,Xinxin,,1132.78 ,USD,,1132.78 ,2018/7/24,1132.78 ,0.00 ,,2018/7/27,, 30 ,2018/8/23, reveived ,received,May-June
COPO Technology Limited,#N/A,#N/A,,CHN_38_07_18,,Lilian,,304166.78 ,USD,,304166.78 ,2018/7/24,304164.87 ,1.91 ,,2018/8/15,, 30 ,2018/8/23, reveived ,received,June
Alibaba.com Hong Kong Limited,China Sales,China Sales East,,CHN_39_07_18,,Ander,,413.41 ,USD,,413.41 ,2018/7/24,413.41 ,0.00 ,,2018/9/11,, 30 ,2018/8/23, reveived ,received,June阿里巴巴（淘宝lite）
Wowcher Limited,UK,UK,,UK_19_07_18,,UK,,12041.81 ,USD,,12041.81 ,2018/7/24,12041.81 ,0.00 ,,2018/9/13,, 60 ,2018/9/22, reveived ,received,June
"Hongkong Lehui Network Technology Co., Limited(Clinkad）",AFF,AFF,,CHN_40_07_18,,AFF,,7892.99 ,USD,,7892.99 ,2018/7/24,7893.39 ,(0.40),,2018/8/27,, 30 ,2018/8/23, reveived ,received,Mar
Autodoc GmbH,UK,UK,,UK_20_07_18,,UK,,1174.00 ,USD,,1174.00 ,2018/7/24,1174.00 ,0.00 ,,2018/8/2,, 30 ,2018/8/23, reveived ,received,June
ADFIT PLT,APAC,SGP,,SGP_10_07_18,,Amanda,,1427.00 ,USD,,1427.00 ,2018/7/24,1427.00 ,0.00 ,,2018/7/24,, 30 ,2018/8/23, reveived ,received,Prepayment
ADFIT PLT,APAC,SGP,,SGP_11_07_18,,Amanda,,2900.00 ,USD,,2900.00 ,2018/7/24,2900.00 ,0.00 ,,2018/7/25,, 30 ,2018/8/23, reveived ,received,Prepayment
Pubnative GmbH,AFF,AFF,,CHN_41_07_18,,AFF,,16079.13 ,USD,,16079.13 ,2018/7/25,16045.83 ,33.30 ,,2018/7/23,, 30 ,2018/8/24, reveived ,received,April
"Surmobi International Co., Ltd",AFF,AFF,,CHN_42_07_18,,AFF,,432.97 ,USD,,432.97 ,2018/7/25,370.50 ,62.47 ,,2018/9/17,, 30 ,2018/8/24, reveived ,received,May
HONGKONG WEBEYE LIMITED(Webeye),AFF,AFF,,CHN_43_07_18,,AFF,,24587.94 ,USD,,24587.94 ,2018/7/25,24586.02 ,1.92 ,,2018/9/5,, 30 ,2018/8/24, reveived ,received,May
