Advertiser,Region,Sub Region,IO Number,Invoice No,Gross Amount,Sales,开票sales,Net Invoice Amount, Invoice Currency , FX Rate ,Amount (USD),Invoice Date,Amount received,Balance,Remark,Receipt Date,Bank source,Credit Period,Due Date,Days Past Due,Ageing (Past Due),COMMENTS
掌上乐游有限公司（有爱互动）,China Sales,China Sales North,,CHN_01_11_16,,Bonnie,Dyna,71675.65 ,USD,,71675.65 ,2016/11/1,60656.87 ,11018.78 ,,2018/7/25,, 30 ,2016/12/1, reveived ,received,Apr
掌上乐游有限公司（有爱互动）,China Sales,China Sales North,,CHN_03_11_16,,Bonnie,Dyna,32289.72 ,USD,,32289.72 ,2016/11/1,,32289.72 ,,2018/7/25,, 30 ,2016/12/1, reveived ,received,May
掌上乐游有限公司（有爱互动）,China Sales,China Sales North,,CHN_04_11_16,,Bonnie,Dyna,27919.93 ,USD,,27919.93 ,2016/11/1,,27919.93 ,,2018/7/25,, 30 ,2016/12/1, reveived ,received,May
HONGKONG XIAOYAO GAME ENTERTAIMENT(有爱互动),China Sales,China Sales North,,CHN_88_12_16,,Bonnie,Dyna,5564.57 ,USD,,5564.57 ,2016/12/23,,5564.57 ,,2018/7/25,, 30 ,2017/1/22, reveived ,received,June
PT.Tri Digital Perlasa-Lokamedia,APAC,Indonesia,,SGP_02_04_17,,Edo,,3032.25 ,USD,,3032.25 ,2017/4/13,3032.25 ,0.00 ,,2018/9/4,, 30 ,2017/5/13, reveived ,received,Mar
PT.Tri Digital Perlasa-Lokamedia,APAC,Indonesia,,SGP_05_05_17,,Edo,,2786.25 ,USD,,2786.25 ,2017/5/25,2786.25 ,0.00 ,,2018/9/26,, 30 ,2017/6/24, reveived ,received,April
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_02_10_17,,Edo,,6000.00 ,USD,,6000.00 ,2017/10/10,6000.00 ,0.00 ,,2018/7/6,, 30 ,2017/11/9, reveived ,received,Aug
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_10_11_17,,Edo,,10000.00 ,USD,,10000.00 ,2017/11/24,10000.00 ,0.00 ,,2018/7/6,, 30 ,2017/12/24, reveived ,received,Oct
"Lazada E-Services Philippines, Inc (Lazada PH)",APAC,Indonesia,,SGP_06_12_17,,Edo,,598.62 ,USD,,598.62 ,2017/12/8,598.62 ,0.00 ,,2018/9/21,, 30 ,2018/1/7, reveived ,received,PH Nov
Hong Kong NetEase Interactive Entertainment Limited（网易海外）,China Sales,China Sales South,,CHN_47_12_17,,Vanness,,8742.60 ,USD,,8742.60 ,2017/12/18,8742.60 ,0.00 ,,2018/7/13,, 30 ,2018/1/17, reveived ,received,Sep-Nov Fb
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_17_12_17,,Edo,,12688.00 ,USD,,12688.00 ,2017/12/19,12688.00 ,0.00 ,,2018/7/6,, 30 ,2018/1/18, reveived ,received,Nov
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_14_01_18,,Edo,,20000.00 ,USD,,20000.00 ,2018/1/12,20000.00 ,0.00 ,,2018/7/6,, 30 ,2018/2/11, reveived ,received,Dec
Vuclip Singapore PTE Ltd,APAC,SGP,,SGP_17_01_18,,Amanda,,794.64 ,USD,,794.64 ,2018/1/22,794.64 ,0.00 ,,2018/8/29,, 45 ,2018/3/8, reveived ,received,Dec CPC
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_07_02_18,,Edo,,20000.00 ,USD,,20000.00 ,2018/2/7,20000.00 ,0.00 ,,2018/9/20,, 30 ,2018/3/9, reveived ,received,Jan
Spatium Sdn. Bhd,APAC,Indonesia,,SGP_14_02_18,,Edo,,4832.70 ,USD,,4832.70 ,2018/2/22,4832.70 ,0.00 ,,2018/7/6,, 30 ,2018/3/24, reveived ,received,Jan
PT Medika Komunika Teknologi-Klikdokter,APAC,Indonesia,,SGP_16_02_18,,Edo,,5000.00 ,USD,,5000.00 ,2018/2/23,,5000.00 ,,2018/9/3,, 30 ,2018/3/25, reveived ,received,Jan prepayment
USP Studios Pvt. Ltd,APAC,SGP,,SGP_17_02_18,,Amanda,,298.81 ,USD,,298.81 ,2018/2/27,298.81 ,0.00 ,,2018/8/10,, 30 ,2018/3/29, reveived ,received,Jan
Headway_Ultron,AFF,AFF,,CHN_17_03_18,,AFF,,191.62 ,USD,,191.62 ,2018/3/6,183.85 ,7.77 ,,2018/7/2,, 30 ,2018/4/5, reveived ,received,Jan
Mobvista International Technology Limited-Ultron,AFF,AFF,,CHN_22_03_18,,AFF,,14362.18 ,USD,,14362.18 ,2018/3/6,14362.18 ,0.00 ,,2018/7/18,, 30 ,2018/4/5, reveived ,received,Jan
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_03_03_18,,Edo,,20000.00 ,USD,,20000.00 ,2018/3/6,20000.00 ,0.00 ,,2018/9/20,, 30 ,2018/4/5, reveived ,received,"Feb 16931.24,留余额Mar 3068.76"
SVG Media FZ. LLC(Seventynine),APAC,SGP,,CHN_30_03_18,,Amanda,,127.40 ,USD,,127.40 ,2018/3/7,127.40 ,0.00 ,,2018/7/6,, 30 ,2018/4/6, reveived ,received,Feb
Spatium Sdn. Bhd,APAC,Indonesia,,SGP_09_03_18,,Edo,,1068.80 ,USD,,1068.80 ,2018/3/12,1068.80 ,0.00 ,,2018/7/6,, 30 ,2018/4/11, reveived ,received,Feb
"Bat Technology CO., Limited（Ultron）",AFF,AFF,,CHN_07_04_18,,AFF,,5414.00 ,USD,,5414.00 ,2018/4/3,,5414.00 ,,2018/8/8,, 30 ,2018/5/3, reveived ,received,Feb
Mobvista International Technology Limited-Ultron,AFF,AFF,,CHN_15_04_18,,AFF,,16431.20 ,USD,,16431.20 ,2018/4/3,16431.20 ,0.00 ,,2018/7/21,, 30 ,2018/5/3, reveived ,received,Feb
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_01_04_18,,Edo,,20000.00 ,USD,,20000.00 ,2018/4/3,20000.00 ,0.00 ,,2018/9/20,, 30 ,2018/5/3, reveived ,received,"Mar 17315.11, 留余额April 5753.65"
Spatium Sdn. Bhd,APAC,Indonesia,,SGP_03_04_18,,Edo,,3385.20 ,USD,,3385.20 ,2018/4/8,3385.20 ,0.00 ,,2018/7/6,, 30 ,2018/5/8, reveived ,received,Mar
Coral Interactive (Gibraltar) Limited (Ladbrokes),UK,UK,,UK_07_04_18,,UK,,3600.00 ,USD,,3600.00 ,2018/4/11,,3600.00 ,,2018/8/8,, 30 ,2018/5/11, reveived ,received,Mar
Wowcher Limited,UK,UK,,UK_08_04_18,,UK,,18544.85 ,USD,,18544.85 ,2018/4/18,18544.85 ,0.00 ,,2018/7/19,, 60 ,2018/6/17, reveived ,received,Mar
Apptick Mobilie Limited,AFF,AFF,,CHN_55_04_18,,AFF,,5315.10 ,USD,,5315.10 ,2018/4/18,5315.10 ,0.00 ,,2018/7/27,, 30 ,2018/5/18, reveived ,received,Feb
Headway_Ultron,AFF,AFF,,CHN_56_04_18,,AFF,,3878.90 ,USD,,3878.90 ,2018/4/18,3878.90 ,0.00 ,,2018/7/10,, 30 ,2018/5/18, reveived ,received,Feb
"IKMY Co., Limited",AFF,AFF,,CHN_58_04_18,,AFF,,1317.00 ,USD,,1317.00 ,2018/4/18,1317.00 ,0.00 ,,2018/7/27,, 30 ,2018/5/18, reveived ,received,Feb
Plarium Global Ltd.,UK,UK,,UK_03_05_18,,UK,,3491.00 ,USD,,3491.00 ,2018/5/7,3491.00 ,0.00 ,,2018/7/12,, 30 ,2018/6/6, reveived ,received,April
Yodel Mobile Ltd,UK,UK,,UK_04_05_18,,UK,,13934.47 ,GBP,,13934.47 ,2018/5/8,13934.47 ,0.00 ,,2018/7/9,, 30 ,2018/6/7, reveived ,received,April Management fee
Hong Kong NetEase Interactive Entertainment Limited（网易海外）,China Sales,China Sales South,,CHN_14_05_18,,Vanness,,605.30 ,USD,,605.30 ,2018/5/9,605.30 ,0.00 ,,2018/7/25,, 30 ,2018/6/8, reveived ,received,April Uno
WHG （International）Limited&WHG Trading Limited（William Hill）,UK,UK,,UK_05_05_18,,UK,,7167.88 ,GBP,,7167.88 ,2018/5/11,7167.88 ,0.00 ,,2018/7/18,, 30 ,2018/6/10, reveived ,received,April
Coral Interactive (Gibraltar) Limited (Ladbrokes),UK,UK,,UK_08_05_18,,UK,,5998.00 ,USD,,5998.00 ,2018/5/11,5998.00 ,0.00 ,,2018/8/3,, 30 ,2018/6/10, reveived ,received,April
Ecart Services Malaysia Sdn Bhd (Lazada MY),APAC,Indonesia,,SGP_05_05_18,,Edo,,18430.82 ,USD,,18430.82 ,2018/5/14,18400.82 ,30.00 ,,2018/8/2,, 30 ,2018/6/13, reveived ,received,April
PT Ecart Webportal Indonesia (Lazada ID),APAC,Indonesia,,SGP_06_05_18,,Edo,,19.80 ,USD,,19.80 ,2018/5/14,19.80 ,0.00 ,,2018/8/10,, 30 ,2018/6/13, reveived ,received,April
Recess Company Ltd (Lazada VN),APAC,Indonesia,,SGP_10_05_18,,Edo,,201.60 ,USD,,201.60 ,2018/5/14,181.94 ,19.66 ,,2018/7/16,, 30 ,2018/6/13, reveived ,received,April
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_11_05_18,,Edo,,20845.90 ,USD,,20845.90 ,2018/5/14,20845.90 ,0.00 ,,2018/9/20,, 30 ,2018/6/13, reveived ,received,April
Digital Media Technology SLU(Headway_Ultron),AFF,AFF,,CHN_23_05_18,,AFF,,9688.43 ,USD,,9688.43 ,2018/5/15,9646.51 ,41.92 ,,2018/7/10,, 30 ,2018/6/14, reveived ,received,Mar
AppNext Ltd,AFF,AFF,,CHN_24_05_18,,AFF,,140889.82 ,USD,,140889.82 ,2018/5/15,,140889.82 ,,2018/8/1,, 30 ,2018/6/14, reveived ,received,Mar
Sungy Mobile Limited (Gomo_Ultron),AFF,AFF,,CHN_25_05_18,,AFF,,469.43 ,USD,,469.43 ,2018/5/15,469.43 ,0.00 ,,2018/8/24,, 30 ,2018/6/14, reveived ,received,Mar
Spatium Sdn. Bhd,APAC,Indonesia,,SGP_13_05_18,,Edo,,4792.05 ,USD,,4792.05 ,2018/5/16,4792.05 ,0.00 ,,2018/7/6,, 30 ,2018/6/15, reveived ,received,April
Glispa GmbH（Ultron）,AFF,AFF,,CHN_28_05_18,,AFF,,2499.03 ,USD,,2499.03 ,2018/5/16,2499.03 ,0.00 ,,2018/8/2,, 30 ,2018/6/15, reveived ,received,Mar
"Hongkong Lehui Network Technology Co., Limited(Clinkad）",AFF,AFF,,CHN_33_05_18,,AFF,,7926.69 ,USD,,7926.69 ,2018/5/16,,7926.69 ,,2018/8/27,, 30 ,2018/6/15, reveived ,received,Mar
Mobvista International Technology Limited-Ultron,AFF,AFF,,CHN_36_05_18,,AFF,,75530.83 ,USD,,75530.83 ,2018/5/16,75530.83 ,0.00 ,,2018/8/4,, 30 ,2018/6/15, reveived ,received,Mar
Mobupps International Limited,AFF,AFF,,CHN_39_05_18,,AFF,,22180.30 ,USD,,22180.30 ,2018/5/17,22134.00 ,46.30 ,,2018/7/31,, 30 ,2018/6/16, reveived ,received,Mar
RoadmappDigital_Ultron,AFF,AFF,,CHN_42_05_18,,AFF,,15714.50 ,USD,,15714.50 ,2018/5/17,15696.20 ,18.30 ,,2018/7/20,, 30 ,2018/6/16, reveived ,received,Mar
Skyworker Digital Limited（Skyworker_Ultron）,AFF,AFF,,CHN_46_05_18,,AFF,,1817.57 ,USD,,1817.57 ,2018/5/17,1817.57 ,0.00 ,,2018/7/3,, 30 ,2018/6/16, reveived ,received,Mar
App Samurai Inc,UK,UK,,UK_10_05_18,,UK,,1364.00 ,USD,,1364.00 ,2018/5/17,1364.00 ,0.00 ,,2018/7/31,, 30 ,2018/6/16, reveived ,received,April
"IKMY Co., Limited",AFF,AFF,,CHN_52_05_18,,AFF,,1225.09 ,USD,,1225.09 ,2018/5/22,1225.09 ,0.00 ,,2018/7/27,, 30 ,2018/6/21, reveived ,received,Mar
Sungy Mobile Limited (Gomo_Ultron),AFF,AFF,,CHN_54_05_18,,AFF,,313.68 ,USD,,313.68 ,2018/5/22,313.68 ,0.00 ,,2018/8/24,, 30 ,2018/6/21, reveived ,received,Jan
Sungy Mobile Limited (Gomo_Ultron),AFF,AFF,,CHN_55_05_18,,AFF,,119.36 ,USD,,119.36 ,2018/5/22,119.36 ,0.00 ,,2018/8/24,, 30 ,2018/6/21, reveived ,received,Feb
Morenti Inc,UK,UK,,US_02_05_18,,UK,,1650.00 ,USD,,1650.00 ,2018/5/24,,1650.00 ,,2018/9/11,, 30 ,2018/6/23, reveived ,received,prepayment
Alibaba.com Hong Kong Limited,China Sales,China Sales East,,CHN_01_06_18,,Ander,,223.42 ,USD,,223.42 ,2018/6/4,223.42 ,0.00 ,,2018/7/12,, 30 ,2018/7/4, reveived ,received,April 淘宝lite
"HYLINK(HK) DIGITAL SOLUTION CO., LIMITED",China Sales,China Sales East,,CHN_02_06_18,,Ander,,10099.79 ,USD,,10099.79 ,2018/6/4,10097.87 ,1.92 ,,2018/7/16,, 30 ,2018/7/4, reveived ,received,April
Click Tech Limited(Yeamobi),AFF,AFF,,CHN_05_06_18,,AFF,,10717.00 ,USD,,10717.00 ,2018/6/4,10717.00 ,0.00 ,,2018/7/18,, 30 ,2018/7/4, reveived ,received,Mar
RoadmappDigital_Ultron,AFF,AFF,,CHN_07_06_18,,AFF,,1880.59 ,USD,,1880.59 ,2018/6/4,,1880.59 ,,2018/8/22,, 30 ,2018/7/4, reveived ,received,April
"Hongkong Lehui Network Technology Co., Limited(Clinkad）",AFF,AFF,,CHN_08_06_18,,AFF,,5023.50 ,USD,,5023.50 ,2018/6/4,4990.22 ,33.28 ,,2018/7/16,, 30 ,2018/7/4, reveived ,received,Feb
Minimob,AFF,AFF,,CHN_13_06_18,,AFF,,392.86 ,USD,,392.86 ,2018/6/4,392.86 ,0.00 ,,2018/9/6,, 30 ,2018/7/4, reveived ,received,Mar
HONG KONG BLACK BEARD GAME LIMITED,China Sales,China Sales South,,CHN_17_06_18,,Vanness,,10367.09 ,USD,,10367.09 ,2018/6/6,10365.17 ,1.92 ,,2018/7/11,, 30 ,2018/7/6, reveived ,received,May 新三国志
EFUN COMPANY LIMITED,China Sales,China Sales South,,CHN_18_06_18,,Vanness,,151241.24 ,USD,,151241.24 ,2018/6/6,151239.32 ,1.92 ,,2018/7/27,, 30 ,2018/7/6, reveived ,received,May 三国志
Foyo Culture And Entertainment (Hong Kong) Limited,China Sales,China Sales South,,CHN_22_06_18,,Vanness,,884.24 ,USD,,884.24 ,2018/6/7,882.32 ,1.92 ,,2018/7/3,, 30 ,2018/7/7, reveived ,received,May 永恒纷争
Mainspring Technology Pte Ltd (Spatium),APAC,Indonesia,,SGP_05_06_18,,Edo,,5758.70 ,USD,,5758.70 ,2018/6/7,5758.70 ,0.00 ,,2018/7/6,, 30 ,2018/7/7, reveived ,received,May
PCCW Vuclip (Singapore) Pte Ltd（Vuclip）,APAC,SGP,,SGP_07_06_18,,Amanda,,1463.00 ,USD,,1463.00 ,2018/6/11,1463.00 ,0.00 ,,2018/7/9,, 30 ,2018/7/11, reveived ,received,May
Autodoc GmbH,UK,UK,,UK_01_06_18,,UK,,974.30 ,USD,,974.30 ,2018/6/11,974.30 ,0.00 ,,2018/7/10,, 30 ,2018/7/11, reveived ,received,May
Wag Labs Inc,UK,UK,,UK_02_06_18,,UK,,748.00 ,USD,,748.00 ,2018/6/11,,748.00 ,,2018/7/10,, 30 ,2018/7/11, reveived ,received,May
Coral Interactive (Gibraltar) Limited (Ladbrokes),UK,UK,,UK_03_06_18,,UK,,5820.00 ,USD,,5820.00 ,2018/6/11,5820.00 ,0.00 ,,2018/8/3,, 30 ,2018/7/11, reveived ,received,May
Apptick Mobilie Limited,AFF,AFF,,CHN_25_06_18,,AFF,,2818.16 ,USD,,2818.16 ,2018/6/11,2818.16 ,0.00 ,,2018/7/27,, 30 ,2018/7/11, reveived ,received,April
OASIS SANQI NETWORK TECHNOLOGY LIMITED(altamob）,AFF,AFF,,CHN_27_06_18,,AFF,,42412.03 ,USD,,42412.03 ,2018/6/11,42412.03 ,0.00 ,,2018/9/7,, 30 ,2018/7/11, reveived ,received,April
"AppTap, LLC_Ultron",AFF,AFF,,CHN_28_06_18,,AFF,,64476.58 ,USD,,64476.58 ,2018/6/11,64458.28 ,18.30 ,,2018/7/20,, 30 ,2018/7/11, reveived ,received,April
Baidu (HongKong) Limited-API,AFF,AFF,,CHN_29_06_18,,AFF,,112470.00 ,USD,,112470.00 ,2018/6/11,112470.00 ,0.00 ,,2018/7/31,, 30 ,2018/7/11, reveived ,received,April
Digitrading Hongkong Limited（敦煌网）,China Sales,China Sales East,,CHN_30_06_18,,Ander,,18215.52 ,USD,,18215.52 ,2018/6/11,18215.52 ,0.00 ,,2018/7/3,, 30 ,2018/7/11, reveived ,received,May
"Bat Technology CO., Limited（Ultron）",AFF,AFF,,CHN_31_06_18,,AFF,,48637.37 ,USD,,48637.37 ,2018/6/11,48637.37 ,0.00 ,,2018/7/17,, 30 ,2018/7/11, reveived ,received,April
Chestnut Tech Limted (Chestunt_Ultron),AFF,AFF,,CHN_32_06_18,,AFF,,884.13 ,USD,,884.13 ,2018/6/11,875.21 ,8.92 ,,2018/7/24,, 30 ,2018/7/11, reveived ,received,April
Cook Media Ltd(Edge226_Ultron),AFF,AFF,,CHN_33_06_18,,AFF,,2127.12 ,USD,,2127.12 ,2018/6/11,2127.12 ,0.00 ,,2018/7/11,, 30 ,2018/7/11, reveived ,received,April
Sungy Mobile Limited (Gomo_Ultron),AFF,AFF,,CHN_34_06_18,,AFF,,1206.95 ,USD,,1206.95 ,2018/6/11,1206.95 ,0.00 ,,2018/8/24,, 30 ,2018/7/11, reveived ,received,April
Glispa GmbH（Ultron）,AFF,AFF,,CHN_36_06_18,,AFF,,9016.60 ,USD,,9016.60 ,2018/6/11,8925.80 ,90.80 ,,2018/8/2,, 30 ,2018/7/11, reveived ,received,April
Hopemobi Technology Limited,AFF,AFF,,CHN_37_06_18,,AFF,,10126.28 ,USD,,10126.28 ,2018/6/11,10124.36 ,1.92 ,,2018/7/10,, 30 ,2018/7/11, reveived ,received,April
Mobupps International Limited,AFF,AFF,,CHN_38_06_18,,AFF,,20575.00 ,USD,,20575.00 ,2018/6/11,20504.20 ,70.80 ,,2018/8/28,, 30 ,2018/7/11, reveived ,received,April
Leadbolt Pty Ltd,AFF,AFF,,CHN_39_06_18,,AFF,,148.17 ,USD,,148.17 ,2018/6/11,305.56 ,(157.39),,2018/7/9,, 30 ,2018/7/11, reveived ,received,April
Mobvista International Technology Limited-Ultron,AFF,AFF,,CHN_40_06_18,,AFF,,107311.53 ,USD,,107311.53 ,2018/6/11,107311.53 ,0.00 ,,2018/8/10,, 30 ,2018/7/11, reveived ,received,April
TOTALMOBRAND S.A.（Mobrand_Ultron）,AFF,AFF,,CHN_41_06_18,,AFF,,2710.96 ,USD,,2710.96 ,2018/6/11,2672.66 ,38.30 ,,2018/9/6,, 30 ,2018/7/11, reveived ,received,April
"Hong Kong Shengmu Data Network Technology Co., Limited(Mightapp)",AFF,AFF,,CHN_43_06_18,,AFF,,3297.72 ,USD,,3297.72 ,2018/6/11,3295.81 ,1.91 ,,2018/8/8,, 30 ,2018/7/11, reveived ,received,April
Digital Media Technology SLU(Headway_Ultron),AFF,AFF,,CHN_45_06_18,,AFF,,15978.37 ,USD,,15978.37 ,2018/6/13,15936.45 ,41.92 ,,2018/7/31,, 30 ,2018/7/13, reveived ,received,April
Skyworker Digital Limited（Skyworker_Ultron）,AFF,AFF,,CHN_47_07_18,,AFF,,9505.75 ,USD,,9505.75 ,2018/6/13,9486.48 ,19.27 ,,2018/7/3,, 30 ,2018/7/13, reveived ,received,April
Smarter Wireless Communications Technology (HK) Limited,AFF,AFF,,CHN_48_06_18,,AFF,,28722.06 ,USD,,28722.06 ,2018/6/13,28722.06 ,0.00 ,,2018/8/2,, 30 ,2018/7/13, reveived ,received,April
Newborn Town International Enterprise Limited（Solo API）,AFF,AFF,,CHN_49_06_18,,AFF,,21330.90 ,USD,,21330.90 ,2018/6/13,21330.90 ,0.00 ,,2018/7/27,, 30 ,2018/7/13, reveived ,received,April
"Surmobi International Co., Ltd",AFF,AFF,,CHN_50_06_18,,AFF,,1649.05 ,USD,,1649.05 ,2018/6/13,1649.05 ,0.00 ,,2018/9/17,, 30 ,2018/7/13, reveived ,received,April
HONGKONG WEBEYE LIMITED(Webeye),AFF,AFF,,CHN_51_06_18,,AFF,,22195.47 ,USD,,22195.47 ,2018/6/13,22193.55 ,1.92 ,,2018/7/25,, 30 ,2018/7/13, reveived ,received,April
Click Tech Limited(Yeamobi),AFF,AFF,,CHN_52_06_18,,AFF,,13124.06 ,USD,,13124.06 ,2018/6/13,13115.14 ,8.92 ,,2018/7/18,, 30 ,2018/7/13, reveived ,received,April
YouAppi Inc,AFF,AFF,,CHN_53_06_18,,AFF,,9072.85 ,USD,,9072.85 ,2018/6/13,,9072.85 ,,2018/7/5,, 30 ,2018/7/13, reveived ,received,April
"Whatech Mobile Co.,Limited(Mobisummer)",AFF,AFF,,CHN_57_06_18,,AFF,,11694.44 ,USD,,11694.44 ,2018/6/13,11692.52 ,1.92 ,,2018/7/10,, 30 ,2018/7/13, reveived ,received,April
Mobchang_Ultron,AFF,AFF,,CHN_58_06_18,,AFF,,2701.07 ,USD,,2701.07 ,2018/6/13,2701.07 ,0.00 ,,2018/9/6,, 30 ,2018/7/13, reveived ,received,April
Mobfire Entertainment Inc,AFF,AFF,,CHN_59_06_18,,AFF,,4852.57 ,USD,,4852.57 ,2018/6/13,3122.96 ,1729.61 ,,2018/9/5,, 30 ,2018/7/13, reveived ,received,April
"Hongkong Lehui Network Technology Co., Limited(Clinkad）",AFF,AFF,,CHN_60_06_18,,AFF,,10473.67 ,USD,,10473.67 ,2018/6/13,10440.37 ,33.30 ,,2018/9/6,, 30 ,2018/7/13, reveived ,received,April
PT. Airy Nest Indonesia,APAC,Indonesia,,SGP_09_06_18,,Edo,,3751.20 ,USD,,3751.20 ,2018/6/13,3751.20 ,0.00 ,,2018/7/5,, 30 ,2018/7/13, reveived ,received,May
SVG Media FZ. LLC(Seventynine),APAC,SGP,,SGP_10_06_18,,Amanda,,2305.00 ,USD,,2305.00 ,2018/6/13,2275.00 ,30.00 ,,2018/7/6,, 30 ,2018/7/13, reveived ,received,May
PT Ecart Webportal Indonesia (Lazada ID),APAC,Indonesia,,SGP_12_06_18,,Edo,,9410.72 ,USD,,9410.72 ,2018/6/13,9410.72 ,0.00 ,,2018/8/10,, 30 ,2018/7/13, reveived ,received,May
"Lazada E-Services Philippines, Inc (Lazada PH)",APAC,Indonesia,,SGP_13_06_18,,Edo,,22166.10 ,USD,,22166.10 ,2018/6/13,22166.10 ,0.00 ,,2018/7/20,, 30 ,2018/7/13, reveived ,received,May
Ecart Services Malaysia Sdn Bhd (Lazada MY),APAC,Indonesia,,SGP_14_06_18,,Edo,,21984.43 ,USD,,21984.43 ,2018/6/13,21954.43 ,30.00 ,,2018/9/6,, 30 ,2018/7/13, reveived ,received,May
Lazada Singapore Pte. Ltd(Lazada SG),APAC,Indonesia,,SGP_15_06_18,,Edo,,1725.24 ,USD,,1725.24 ,2018/6/13,1725.24 ,0.00 ,,2018/8/1,, 30 ,2018/7/13, reveived ,received,May
Lazada Limited (Lazada TH),APAC,Indonesia,,SGP_16_06_18,,Edo,,4630.80 ,USD,,4630.80 ,2018/6/13,4610.80 ,20.00 ,,2018/7/16,, 30 ,2018/7/13, reveived ,received,May
Recess Company Ltd (Lazada VN),APAC,Indonesia,,SGP_17_06_18,,Edo,,5660.54 ,USD,,5660.54 ,2018/6/14,5088.63 ,571.91 ,,2018/8/10,, 30 ,2018/7/14, reveived ,received,May
Wowcher Limited,UK,UK,,UK_06_06_18,,UK,,9386.93 ,USD,,9386.93 ,2018/6/14,9386.93 ,0.00 ,,2018/7/26,, 60 ,2018/8/13, reveived ,received,May
Huuuge Global Limited,UK,UK,,UK_08_16_18,,UK,,179.00 ,USD,,179.00 ,2018/6/14,164.00 ,15.00 ,,2018/7/17,, 30 ,2018/7/14, reveived ,received,May
"Bat Technology CO., Limited（Batmobi）",China Sales,China Sales South,,CHN_64_06_18,,Vanness,,86516.60 ,USD,,86516.60 ,2018/6/19,86516.60 ,0.00 ,,2018/7/13,, 30 ,2018/7/19, reveived ,received,May
Yodel Mobile Ltd,UK,UK,,UK_09_06_18,,UK,,7745.28 ,GBP,,7745.28 ,2018/6/19,7745.28 ,0.00 ,,2018/8/20,, 30 ,2018/7/19, reveived ,received,May
UNILEAD PTE.LTD,UK,UK,,UK_10_06_18,,UK,,2378.92 ,USD,,2378.92 ,2018/6/19,2353.92 ,25.00 ,,2018/7/10,, 30 ,2018/7/19, reveived ,received,April-May
Cliiky Network Limited,AFF,AFF,,CHN_65_06_18,,AFF,,1626.00 ,USD,,1626.00 ,2018/6/19,1626.00 ,0.00 ,,2018/7/18,, 30 ,2018/7/19, reveived ,received,April
Cloudmob Limited,AFF,AFF,,CHN_66_06_18,,AFF,,117.71 ,USD,,117.71 ,2018/6/19,117.71 ,0.00 ,,2018/8/21,, 30 ,2018/7/19, reveived ,received,April
Dofun Technology Limited,AFF,AFF,,CHN_67_06_18,,AFF,,3823.56 ,USD,,3823.56 ,2018/6/19,3821.64 ,1.92 ,,2018/7/4,, 30 ,2018/7/19, reveived ,received,April
Huntmobi Holdings Limited,AFF,AFF,,CHN_68_06_18,,AFF,,1393.72 ,USD,,1393.72 ,2018/6/19,1393.72 ,0.00 ,,2018/9/12,, 30 ,2018/7/19, reveived ,received,April
Fiverr International Ltd,UK,UK,,UK_11_06_18,,UK,,180.00 ,USD,,180.00 ,2018/6/21,180.00 ,0.00 ,,2018/8/15,, 30 ,2018/7/21, reveived ,received,May
WHG （International）Limited&WHG Trading Limited（William Hill）,UK,UK,,UK_12_06_18,,UK,,5916.82 ,GBP,,5916.82 ,2018/6/21,5916.82 ,0.00 ,,2018/7/19,, 30 ,2018/7/21, reveived ,received,May
Hong Kong NetEase Interactive Entertainment Limited（网易海外）,China Sales,China Sales South,,CHN_71_06_18,,Vanness,,17334.00 ,USD,,17334.00 ,2018/6/21,17334.00 ,0.00 ,,2018/7/11,, 30 ,2018/7/21, reveived ,received,June1-15
COPO Technology Limited,#N/A,#N/A,,CHN_72_06_18,,Lilian,,289274.54 ,USD,,289274.54 ,2018/6/22,289272.62 ,1.92 ,,2018/7/20,, 30 ,2018/7/22, reveived ,received,May
Alibaba.com Singapore E-commerce Private Limited,China Sales,China Sales East,,CHN_73_06_18,,Ander,,281691.93 ,USD,,281691.93 ,2018/6/22,281691.93 ,0.00 ,,2018/7/4,, 30 ,2018/7/22, reveived ,received,March
Alibaba.com Singapore E-commerce Private Limited,China Sales,China Sales East,,CHN_74_06_18,,Ander,,294143.16 ,USD,,294143.16 ,2018/6/22,294143.16 ,0.00 ,,2018/7/4,, 30 ,2018/7/22, reveived ,received,March
Alibaba.com Singapore E-commerce Private Limited,China Sales,China Sales East,,CHN_75_06_18,,Ander,,5355939.95 ,USD,,5355939.95 ,2018/6/22,5355939.95 ,0.00 ,,2018/7/4,, 30 ,2018/7/22, reveived ,received,March
Bytedance Inc.今日头条,China Sales,China Sales North,,CHN_76_06_18,,Bonnie,,3609099.86 ,USD,,3609099.86 ,2018/6/25,3609081.56 ,18.30 ,,2018/7/11,, 30 ,2018/7/25, reveived ,received,May
PT.MP Games,APAC,Indonesia,,SGP_19_06_18,,Edo,,23843.40 ,USD,,23843.40 ,2018/6/25,23843.40 ,0.00 ,,2018/9/7,, 30 ,2018/7/25, reveived ,received,May
